S_ID | S_POINT
0 | (-8930213.188003095 346784.05169164017)
1 | (-2026282.9313221853 -2238796.2580171395)
2 | (-1059353.9259344544 1290659.7646691669)
3 | (-6831587.617097627 8467100.604053002)
4 | (7480265.746807039 -3473138.3545640623)
5 | (-9521412.30763294 -1096443.1269233637)
6 | (-8515532.665728785 -6216669.550523728)
7 | (2931351.4968861304 9365200.724400029)
8 | (-6966802.059201818 8430963.942401793)
9 | (-460376.36951873824 -9226228.57738607)
10 | (5389942.46697811 2506349.1839881763)
11 | (-1914404.0091303485 2828151.2454770915)
12 | (9605087.807291385 -538448.5167397652)
13 | (-8054479.929913654 -3105985.9397133254)
14 | (6803210.682799265 2688527.166131085)
15 | (3026450.6126958784 8714310.374468483)
16 | (5331352.140661439 -8075176.058691653)
17 | (8379511.786719106 8976673.5910292)
18 | (-8384571.655694261 -4497674.732361198)
19 | (4926065.266322995 -9309264.92803406)
20 | (7676465.748118006 6454459.377575289)
21 | (-3966843.5054110438 1170327.0697402526)
22 | (6058669.649801981 79029.84471416101)
23 | (3839203.4198256563 46970.78520070203)
24 | (2650144.483800238 4300156.2633248065)
25 | (-9347751.625097398 -9290627.423941407)
26 | (1303174.6397535857 -9572046.202081867)
27 | (6804735.750783611 300850.98102616146)
28 | (-6792795.48407672 8045259.928620957)
29 | (7003058.05449618 -2734654.3502131198)
30 | (-6736066.308267847 2100436.614044063)
31 | (4193875.8397049606 2792647.906341672)
32 | (5660172.870218808 9043628.446346052)
33 | (-970837.285536861 8524899.661045335)
34 | (6750936.4464822095 5377007.51791279)
35 | (8180546.051580716 -7096854.744461116)
36 | (-471749.0081133358 2835367.870234167)
37 | (-8004493.335047873 1713836.4366446715)
38 | (5688303.911572488 5097266.980662374)
39 | (-6837230.091423077 -8191329.714023841)
40 | (1655374.4803968184 -2169687.4561726106)
41 | (-9086335.100013936 471915.7525405977)
42 | (-9653965.74359748 -4406559.549330715)
43 | (-4201866.932892567 -28482.890452608466)
44 | (3619184.3700531144 -2851828.6656917557)
45 | (-617462.6041699797 2647614.235581493)
46 | (8109922.999753289 3143615.5016372893)
47 | (1820983.9580133762 -2523684.353321038)
48 | (-8583500.44339496 -974092.9334680345)
49 | (2892369.611171825 5009195.1249076165)
50 | (-8838687.444554258 9595812.818760693)
51 | (7696716.051274471 -4298107.9512348445)
52 | (-5083240.546289747 5276782.357902767)
53 | (-149895.50210504234 5636544.853623919)
54 | (-676217.5574396066 4741067.323494865)
55 | (5466613.738853781 -8015156.727328852)
56 | (4753157.153072275 -5845860.931627842)
57 | (1429815.051654471 -8568750.341956418)
58 | (9875372.057289481 -4610685.1973303)
59 | (2300133.4301889446 -3114044.706587149)
60 | (-9542340.006218737 1225284.1674241424)
61 | (-8428262.236551765 5752148.3300104495)
62 | (-7017362.682749488 6851513.555519182)
63 | (-1947598.4075683942 894651.5706402548)
64 | (-5245798.273032043 -357693.89581613056)
65 | (8192914.7252471335 -1811142.2654659636)
66 | (-9989711.125794137 3022114.7188794278)
67 | (3644567.14038107 2628660.4868105855)
68 | (-1036373.2446893211 -791235.4581409153)
69 | (-8314150.082157732 517986.9583631493)
70 | (-6263679.218186999 -1508473.3139281198)
71 | (4224836.344905792 6230040.951544862)
72 | (-4812706.482579736 -3525125.103900606)
73 | (-293325.8901467081 -5344737.371453749)
74 | (734114.7399121989 -2738840.478320825)
75 | (-559558.4719129018 -8938464.917731415)
76 | (1659754.3920891806 5486288.918590292)
77 | (7278694.594131038 -8326091.101338196)
78 | (-4741134.666176852 -34630.31041571684)
79 | (4556835.21731231 8095506.259227604)
80 | (-7152537.361910174 -2580891.200752333)
81 | (5143023.461229488 -9780666.83196532)
82 | (-6952246.724549625 974518.1835876647)
83 | (6490903.636068959 -6006990.664705649)
84 | (-885783.7869896442 1393837.3264818266)
85 | (604781.3090237528 -1431700.3288363125)
86 | (5305005.074815063 -5061950.586933199)
87 | (-6511509.011959989 -2113077.548905489)
88 | (-3705163.554131752 6422746.5009801965)
89 | (-8249101.859114425 -5554554.738140816)
90 | (5197910.046523215 9753691.711074509)
91 | (-7935381.331209403 7319295.876043789)
92 | (406545.9817291554 1894375.5859799124)
93 | (7934657.322974242 7560014.17887209)
94 | (2668381.6234522313 -61920.46303532459)
95 | (-9944061.413183922 6538066.525938608)
96 | (9207690.682489824 4957339.67689806)
97 | (-5713771.268896251 4136581.8436080366)
98 | (-8951293.730056044 5230844.078586251)
99 | (2149983.20603065 -3512359.216276275)
100 | (4895537.455346812 -3381427.9475500397)
101 | (269404.8868769221 -6249414.781230522)
102 | (603396.5064361077 4840107.230617164)
103 | (168456.9752861224 369860.98043688945)
104 | (-6575347.919048342 3862369.681098951)
105 | (595842.0416969415 9818845.768016893)
106 | (6147563.893099088 3251781.0610475056)
107 | (1577413.8418979384 -2568148.612738668)
108 | (9257357.290668901 -6560497.665167026)
109 | (-1299709.7426502649 3427797.216977738)
110 | (-98203.64750495367 -1611815.4926128471)
111 | (-1120689.5086775143 -4476314.445188126)
112 | (5892882.458022799 -7575.369730634615)
113 | (-112424.93451657519 826273.2718604896)
114 | (-6728500.950416978 -3512995.654653148)
115 | (3783717.4568079095 3767395.26900352)
116 | (2828940.0923998076 -1116619.5317751914)
117 | (5971326.155025449 -521349.684309436)
118 | (-840943.4632033482 7752677.884681772)
119 | (-5073003.304053936 -7101733.390664715)
120 | (-8752520.620070832 9578959.707066402)
121 | (6660497.2493698485 1687384.7397553865)
122 | (9536024.678190377 -337032.4294712264)
123 | (5910741.5582339 7918348.023440048)
124 | (1743029.920131836 -7265262.894582929)
125 | (2006769.1017445251 -9101202.369271826)
126 | (-8829851.269031 8924362.994950216)
127 | (-6856338.35281245 -4324400.441377141)
128 | (-6875894.744707337 9449703.856613558)
129 | (-9543529.309534324 -1522325.10003501)
130 | (-7304629.928442563 -9888577.783480873)
131 | (-2435717.135952482 -3535368.5272745294)
132 | (4942931.051952019 -1923055.3178752018)
133 | (7792087.593242321 -1921417.9678329946)
134 | (9714940.589586426 -1828900.3598867003)
135 | (4445231.864380892 9234822.56683423)
136 | (2282588.9317719545 6788475.8362989165)
137 | (-1889893.9402647242 -7818913.173343482)
138 | (-8186180.278348057 -4842585.461744047)
139 | (6309778.728450995 -5771618.290703912)
140 | (-8475224.588420156 -6596125.541170459)
141 | (9146964.876094867 8699852.762738176)
142 | (6816549.386069592 -8383771.863409744)
143 | (154417.30953041092 6054663.892823622)
144 | (-5514242.078577478 -8171250.6512202835)
145 | (6629219.884080589 7664279.564145628)
146 | (4069590.90080755 -7827846.713112021)
147 | (4353014.799820444 -245873.2619978208)
148 | (-8806734.071394537 -6089426.363561343)
149 | (6096439.586355463 4511581.174062625)
150 | (8936134.618847769 8595860.824381936)
151 | (1247861.5473960936 5793924.678930437)
152 | (2416044.0685003176 -4851630.032594991)
153 | (-6006293.676221586 2333748.2864603065)
154 | (-1750660.6104422826 -1085918.2090513706)
155 | (6477000.191624651 9047207.105484866)
156 | (-3240454.9389745863 -1241750.6392367259)
157 | (-5823880.928372287 8869921.424824428)
158 | (2157281.5571379066 1686493.5480817407)
159 | (8166375.1651883945 9821738.89851759)
160 | (-6439869.324203687 4158714.5044066235)
161 | (-4449860.10270263 7791289.052887164)
162 | (9339989.340640191 -2515892.5991472714)
163 | (-3824613.3302127076 7404470.908741377)
164 | (-4237400.841059778 5384548.468744993)
165 | (5170113.39142069 7653759.5954523645)
166 | (2203539.606526993 -8986402.613918658)
167 | (-5278135.273289315 -6844357.739792253)
168 | (7655725.035793703 -5397086.074171082)
169 | (-3400999.495200034 -7716239.255750117)
170 | (-6470190.759258805 1217730.8973007035)
171 | (-7024985.933608934 4042540.169583136)
172 | (5490573.987112239 -5186503.488696674)
173 | (-5365007.079699142 1845150.3929815646)
174 | (-6685588.014494703 199878.01675450802)
175 | (5461448.03103371 -61761.70979651064)
176 | (519053.0426259171 -4652880.477424992)
177 | (930317.5601057224 -9475706.493182039)
178 | (7311065.869947489 5481062.161719123)
179 | (1397948.5323762894 4922228.523635434)
180 | (2166538.9671279974 1025774.5392033271)
181 | (-944237.9244252127 -4611293.564009851)
182 | (-603174.248677358 9718890.090420343)
183 | (9102580.266922135 6583439.540062783)
184 | (5183649.530536214 -2174337.312531744)
185 | (3200998.7373794485 2093636.273284832)
186 | (2277784.456826359 6696051.965052512)
187 | (1880580.0065898728 9462268.278928105)
188 | (-9361378.92372911 -1416351.6919029523)
189 | (1741706.153788427 4897444.954406325)
190 | (9946175.9092491 -7453081.853150286)
191 | (-9203112.903767198 5158599.102720242)
192 | (-7655783.718017914 702470.2926717605)
193 | (-6192638.245845335 8647028.534439232)
194 | (2063931.8421902675 67526.90581966005)
195 | (-9142557.606821742 -5380085.731243198)
196 | (-6539260.046401467 -1571602.2274792716)
197 | (-2649267.38212548 -3711344.841455468)
198 | (-7107541.582895009 -6455654.0278015025)
199 | (-6682927.5292086685 -6398348.616604893)
200 | (6057821.189016657 -6102428.316544592)
201 | (1174755.4470536318 2410254.6744466294)
202 | (376474.6610028297 7131032.585194718)
203 | (-9044000.394683413 2410683.968621958)
204 | (-7432116.82829646 8531675.702078093)
205 | (-6516459.113181243 9783094.495491594)
206 | (-4407630.5207812 -5398331.532817981)
207 | (-3819258.49680748 -9998571.388202125)
208 | (2023930.0244515538 -9841175.687859483)
209 | (-6048474.431673376 4767038.425785625)
210 | (-7820844.692406667 -3320597.0930060036)
211 | (-3871832.5279116454 1749171.024912715)
212 | (5207884.222152319 -9128969.998825517)
213 | (2721450.401305657 -8058467.105014122)
214 | (9286941.43915426 9748559.432993677)
