O_ORDERKEY | O_CUSTKEY | O_ORDERSTATUS | O_TOTALPRICE | O_ORDERDATE | O_ORDERPRIORITY | O_CLERK | O_SHIPPRIORITY | O_COMMENT
1|112|O|144145.81|1996-01-02|5-LOW|Clerk#000000951|0|nstructions sleep furiously among 
2|235|O|48650.46|1996-12-01|1-URGENT|Clerk#000000880|0| foxes. pending accounts at the pending, silent asymptot
3|370|F|182819.48|1993-10-14|5-LOW|Clerk#000000955|0|sly final accounts boost. carefully regular ideas cajole carefully. depos
4|412|O|36621.78|1995-10-11|5-LOW|Clerk#000000124|0|sits. slyly regular warthogs cajole. regular, regular theodolites acro
5|134|F|99976.29|1994-07-30|5-LOW|Clerk#000000925|0|quickly. bold deposits sleep slyly. packages use slyly
6|167|F|46260.09|1992-02-21|4-NOT SPECIFIED|Clerk#000000058|0|ggle. special, final requests are against the furiously specia
7|118|O|213558.40|1996-01-10|2-HIGH|Clerk#000000470|0|ly special requests 
32|391|O|142078.69|1995-07-16|2-HIGH|Clerk#000000616|0|ise blithely bold, regular requests. quickly unusual dep
33|202|F|111285.64|1993-10-27|3-MEDIUM|Clerk#000000409|0|uriously. furiously final request
34|184|O|50093.56|1998-07-21|3-MEDIUM|Clerk#000000223|0|ly final packages. fluffily final deposits wake blithely ideas. spe
35|383|O|175549.02|1995-10-23|4-NOT SPECIFIED|Clerk#000000259|0|zzle. carefully enticing deposits nag furio
36|346|O|48170.95|1995-11-03|1-URGENT|Clerk#000000358|0| quick packages are blithely. slyly silent accounts wake qu
37|259|F|126147.23|1992-06-03|3-MEDIUM|Clerk#000000456|0|kly regular pinto beans. carefully unusual waters cajole never
38|376|O|61547.49|1996-08-21|4-NOT SPECIFIED|Clerk#000000604|0|haggle blithely. furiously express ideas haggle blithely furiously regular re
39|247|O|248966.64|1996-09-20|3-MEDIUM|Clerk#000000659|0|ole express, ironic requests: ir
64|97|F|23569.22|1994-07-16|3-MEDIUM|Clerk#000000661|0|wake fluffily. sometimes ironic pinto beans about the dolphin
65|49|P|72487.83|1995-03-18|1-URGENT|Clerk#000000632|0|ular requests are blithely pending orbits-- even requests against the deposit
66|388|F|101595.05|1994-01-20|5-LOW|Clerk#000000743|0|y pending requests integrate
67|170|O|138698.16|1996-12-19|4-NOT SPECIFIED|Clerk#000000547|0|symptotes haggle slyly around the furiously iron
68|86|O|260606.61|1998-04-18|3-MEDIUM|Clerk#000000440|0| pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
69|254|F|193127.53|1994-06-04|4-NOT SPECIFIED|Clerk#000000330|0| depths atop the slyly thin deposits detect among the furiously silent accou
70|194|F|96866.37|1993-12-18|5-LOW|Clerk#000000322|0| carefully ironic request
71|11|O|212739.63|1998-01-24|4-NOT SPECIFIED|Clerk#000000271|0| express deposits along the blithely regul
96|325|F|69034.00|1994-04-17|2-HIGH|Clerk#000000395|0|oost furiously. pinto
97|64|F|78901.21|1993-01-29|3-MEDIUM|Clerk#000000547|0|hang blithely along the regular accounts. furiously even ideas after the
98|314|F|58042.44|1994-09-25|1-URGENT|Clerk#000000448|0|c asymptotes. quickly regular packages should have to nag re
99|268|F|113873.68|1994-03-13|4-NOT SPECIFIED|Clerk#000000973|0|e carefully ironic packages. pending
100|442|O|159350.45|1998-02-28|4-NOT SPECIFIED|Clerk#000000577|0|heodolites detect slyly alongside of the ent
101|85|O|121065.22|1996-03-17|3-MEDIUM|Clerk#000000419|0|ding accounts above the slyly final asymptote
102|4|O|143133.69|1997-05-09|2-HIGH|Clerk#000000596|0| slyly according to the asymptotes. carefully final packages integrate furious
103|88|O|102078.02|1996-06-20|4-NOT SPECIFIED|Clerk#000000090|0|ges. carefully unusual instructions haggle quickly regular f
128|223|F|44061.80|1992-06-15|1-URGENT|Clerk#000000385|0|ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
129|214|F|218759.69|1992-11-19|5-LOW|Clerk#000000859|0|ing tithes. carefully pending deposits boost about the silently express 
130|112|F|126864.82|1992-05-08|2-HIGH|Clerk#000000036|0|le slyly unusual, regular packages? express deposits det
131|280|F|116435.32|1994-06-08|3-MEDIUM|Clerk#000000625|0|after the fluffily special foxes integrate s
132|80|F|143707.53|1993-06-11|3-MEDIUM|Clerk#000000488|0|sits are daringly accounts. carefully regular foxes sleep slyly about the
133|133|O|99122.84|1997-11-29|1-URGENT|Clerk#000000738|0|usly final asymptotes 
134|19|F|192197.50|1992-05-01|4-NOT SPECIFIED|Clerk#000000711|0|lar theodolites boos
135|182|O|217154.66|1995-10-21|4-NOT SPECIFIED|Clerk#000000804|0|l platelets use according t
160|248|O|92469.79|1996-12-19|4-NOT SPECIFIED|Clerk#000000342|0|thely special sauternes wake slyly of t
161|50|F|22974.39|1994-08-31|2-HIGH|Clerk#000000322|0|carefully! special instructions sin
162|43|O|2907.15|1995-05-08|3-MEDIUM|Clerk#000000378|0|nts hinder fluffily ironic instructions. express, express excuses 
163|265|O|157557.97|1997-09-05|3-MEDIUM|Clerk#000000379|0|y final packages. final foxes since the quickly even
164|4|F|236623.72|1992-10-21|5-LOW|Clerk#000000209|0|cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
165|82|F|179378.84|1993-01-30|4-NOT SPECIFIED|Clerk#000000292|0|across the blithely regular accounts. bold
166|325|O|110510.44|1995-09-12|2-HIGH|Clerk#000000440|0|lets. ironic, bold asymptotes kindle
167|359|F|66793.22|1993-01-04|4-NOT SPECIFIED|Clerk#000000731|0|s nag furiously bold excuses. fluffily iron
192|248|O|164864.25|1997-11-25|5-LOW|Clerk#000000483|0|y unusual platelets among the final instructions integrate rut
193|238|F|58835.30|1993-08-08|1-URGENT|Clerk#000000025|0|the furiously final pin
194|187|F|139708.22|1992-04-05|3-MEDIUM|Clerk#000000352|0|egular requests haggle slyly regular, regular pinto beans. asymptote
195|407|F|141533.82|1993-12-28|3-MEDIUM|Clerk#000000216|0|old forges are furiously sheaves. slyly fi
196|196|F|38631.68|1993-03-17|2-HIGH|Clerk#000000988|0|beans boost at the foxes. silent foxes
197|98|P|118000.26|1995-04-07|2-HIGH|Clerk#000000969|0|solve quickly about the even braids. carefully express deposits affix care
198|331|O|141597.18|1998-01-02|4-NOT SPECIFIED|Clerk#000000331|0|its. carefully ironic requests sleep. furiously express fox
199|160|O|101315.66|1996-03-07|2-HIGH|Clerk#000000489|0|g theodolites. special packag
224|8|F|195754.85|1994-06-18|4-NOT SPECIFIED|Clerk#000000642|0|r the quickly thin courts. carefully
225|100|P|207943.26|1995-05-25|1-URGENT|Clerk#000000177|0|s. blithely ironic accounts wake quickly fluffily special acc
226|383|F|210015.53|1993-03-10|2-HIGH|Clerk#000000756|0|s are carefully at the blithely ironic acc
227|31|O|60735.23|1995-11-10|5-LOW|Clerk#000000919|0| express instructions. slyly regul
228|133|F|2662.32|1993-02-25|1-URGENT|Clerk#000000562|0|es was slyly among the regular foxes. blithely regular dependenci
229|337|F|174563.86|1993-12-29|1-URGENT|Clerk#000000628|0|he fluffily even instructions. furiously i
230|308|F|126925.75|1993-10-27|1-URGENT|Clerk#000000520|0|odolites. carefully quick requ
231|274|F|176105.71|1994-09-29|2-HIGH|Clerk#000000446|0| packages haggle slyly after the carefully ironic instruct
256|376|F|130838.90|1993-10-19|4-NOT SPECIFIED|Clerk#000000834|0|he fluffily final ideas might are final accounts. carefully f
257|370|O|9085.34|1998-03-28|3-MEDIUM|Clerk#000000680|0|ts against the sly warhorses cajole slyly accounts
258|127|F|237452.85|1993-12-29|1-URGENT|Clerk#000000167|0|dencies. blithely quick packages cajole. ruthlessly final accounts
259|130|F|88647.86|1993-09-29|4-NOT SPECIFIED|Clerk#000000601|0|ages doubt blithely against the final foxes. carefully express deposits dazzle
260|316|O|216241.93|1996-12-10|3-MEDIUM|Clerk#000000960|0|lently regular pinto beans sleep after the slyly e
261|139|F|235063.79|1993-06-29|3-MEDIUM|Clerk#000000310|0|ully fluffily brave instructions. furiousl
262|92|O|131902.82|1995-11-25|4-NOT SPECIFIED|Clerk#000000551|0|l packages. blithely final pinto beans use carefu
263|349|F|96249.82|1994-05-17|2-HIGH|Clerk#000000088|0| pending instructions. blithely un
288|22|O|197577.06|1997-02-21|1-URGENT|Clerk#000000109|0|uriously final requests. even, final ideas det
289|313|O|147499.37|1997-02-10|3-MEDIUM|Clerk#000000103|0|sily. slyly special excuse
290|355|F|69592.91|1994-01-01|4-NOT SPECIFIED|Clerk#000000735|0|efully dogged deposits. furiou
291|424|F|80305.54|1994-03-13|1-URGENT|Clerk#000000923|0|dolites. carefully regular pinto beans cajol
292|67|F|37613.14|1992-01-13|2-HIGH|Clerk#000000193|0|g pinto beans will have to sleep f
293|91|F|44334.46|1992-10-02|2-HIGH|Clerk#000000629|0|re bold, ironic deposits. platelets c
294|152|F|33788.81|1993-07-16|3-MEDIUM|Clerk#000000499|0|kly according to the frays. final dolphins affix quickly 
295|58|F|109258.14|1994-09-29|2-HIGH|Clerk#000000155|0| unusual pinto beans play. regular ideas haggle
320|1|O|44941.92|1997-11-21|2-HIGH|Clerk#000000573|0|ar foxes nag blithely
321|368|F|73603.72|1993-03-21|3-MEDIUM|Clerk#000000289|0|equests run. blithely final dependencies after the deposits wake caref
322|401|F|140475.40|1992-03-19|1-URGENT|Clerk#000000158|0|fully across the slyly bold packages. packages against the quickly regular i
323|118|F|101788.79|1994-03-26|1-URGENT|Clerk#000000959|0|arefully pending foxes sleep blithely. slyly express accoun
324|316|F|36622.68|1992-03-20|1-URGENT|Clerk#000000352|0| about the ironic, regular deposits run blithely against the excuses
325|121|F|84971.05|1993-10-17|5-LOW|Clerk#000000844|0|ly sometimes pending pa
326|229|O|273936.49|1995-06-04|2-HIGH|Clerk#000000466|0| requests. furiously ironic asymptotes mold carefully alongside of the blit
327|434|P|29694.53|1995-04-17|5-LOW|Clerk#000000992|0|ng the slyly final courts. slyly even escapades eat 
352|320|F|18130.89|1994-03-08|2-HIGH|Clerk#000000932|0|ke slyly bold pinto beans. blithely regular accounts against the spe
353|7|F|218944.56|1993-12-31|5-LOW|Clerk#000000449|0| quiet ideas sleep. even instructions cajole slyly. silently spe
354|415|O|180365.60|1996-03-14|2-HIGH|Clerk#000000511|0|ly regular ideas wake across the slyly silent ideas. final deposits eat b
355|211|F|83822.10|1994-06-14|5-LOW|Clerk#000000532|0|s. sometimes regular requests cajole. regular, pending accounts a
356|442|F|195117.55|1994-06-30|4-NOT SPECIFIED|Clerk#000000944|0|as wake along the bold accounts. even, 
357|182|O|128377.98|1996-10-09|2-HIGH|Clerk#000000301|0|e blithely about the express, final accounts. quickl
358|7|F|288207.53|1993-09-20|2-HIGH|Clerk#000000392|0|l, silent instructions are slyly. silently even de
359|233|F|177516.00|1994-12-19|3-MEDIUM|Clerk#000000934|0|n dolphins. special courts above the carefully ironic requests use
384|340|F|151578.92|1992-03-03|5-LOW|Clerk#000000206|0|, even accounts use furiously packages. slyly ironic pla
385|100|O|57878.69|1996-03-22|5-LOW|Clerk#000000600|0|hless accounts unwind bold pain
386|181|F|113028.06|1995-01-25|2-HIGH|Clerk#000000648|0| haggle quickly. stealthily bold asymptotes haggle among the furiously even re
387|10|O|161847.68|1997-01-26|4-NOT SPECIFIED|Clerk#000000768|0| are carefully among the quickly even deposits. furiously silent req
388|136|F|139261.38|1992-12-16|4-NOT SPECIFIED|Clerk#000000356|0|ar foxes above the furiously ironic deposits nag slyly final reque
389|382|F|2672.77|1994-02-17|2-HIGH|Clerk#000000062|0|ing to the regular asymptotes. final, pending foxes about the blithely sil
390|308|O|213571.69|1998-04-07|5-LOW|Clerk#000000404|0|xpress asymptotes use among the regular, final pinto b
391|331|F|16443.09|1994-11-17|2-HIGH|Clerk#000000256|0|orges thrash fluffil
416|121|F|88856.33|1993-09-27|5-LOW|Clerk#000000294|0| the accounts. fluffily bold depo
417|164|F|101425.33|1994-02-06|3-MEDIUM|Clerk#000000468|0|ironic, even packages. thinly unusual accounts sleep along the slyly unusual 
418|286|P|34523.61|1995-04-13|4-NOT SPECIFIED|Clerk#000000643|0|. furiously ironic instruc
419|349|O|133019.37|1996-10-01|3-MEDIUM|Clerk#000000376|0|osits. blithely pending theodolites boost carefully
420|271|O|229011.40|1995-10-31|4-NOT SPECIFIED|Clerk#000000756|0|leep carefully final excuses. fluffily pending requests unwind carefully above
421|118|F|1363.59|1992-02-22|5-LOW|Clerk#000000405|0|egular, even packages according to the final, un
422|220|O|139132.45|1997-05-31|4-NOT SPECIFIED|Clerk#000000049|0|aggle carefully across the accounts. regular accounts eat fluffi
423|311|O|33889.44|1996-06-01|1-URGENT|Clerk#000000674|0|quests. deposits cajole quickly. furiously bold accounts haggle q
448|449|O|141876.91|1995-08-21|3-MEDIUM|Clerk#000000597|0| regular, express foxes use blithely. quic
449|289|O|52811.17|1995-07-20|2-HIGH|Clerk#000000841|0|. furiously regular theodolites affix blithely 
450|143|P|190883.57|1995-03-05|4-NOT SPECIFIED|Clerk#000000293|0|d theodolites. boldly bold foxes since the pack
451|298|O|121431.99|1998-05-25|5-LOW|Clerk#000000048|0|nic pinto beans. theodolites poach carefully; 
452|179|O|2460.80|1997-10-14|1-URGENT|Clerk#000000498|0|t, unusual instructions above the blithely bold pint
