O_ORDERKEY | O_CUSTKEY | O_ORDERSTATUS | O_TOTALPRICE | O_ORDERDATE | O_ORDER-PRIORITY | O_CLERK | O_SHIP-PRIORITY | O_COMMENT
5989|214|O|300929.82|1995-10-15|3-MEDIUM|Clerk#000000028|0|aggle furiously final Tiresias. quickly ironi
5990|196|F|137350.29|1993-04-08|1-URGENT|Clerk#000000831|0|packages. ideas use besides the car
5991|427|F|41899.02|1994-05-06|2-HIGH|Clerk#000000356|0|ep carefully requests. bold ac
6016|65|F|84576.02|1992-01-21|2-HIGH|Clerk#000000119|0|s requests detect. even accounts are slyly ironic deposits. s
6017|146|F|132010.48|1995-01-31|1-URGENT|Clerk#000000714|0|lly unusual accounts wake final, regul
6018|250|F|23752.56|1992-08-19|5-LOW|Clerk#000000919|0|lly final courts should have t
6019|170|F|27976.64|1993-08-06|5-LOW|Clerk#000000153|0|furiously along the carefully ironic packages. quickly spec
6020|22|F|277385.72|1994-09-22|3-MEDIUM|Clerk#000000422|0|ckages. blithely pend
6021|206|O|179641.07|1997-11-06|5-LOW|Clerk#000000637|0|ckages-- furiously express pinto beans
6022|4|F|260865.27|1995-02-13|1-URGENT|Clerk#000000899|0|al dependencies affix according to the
6023|334|O|197411.46|1998-04-10|4-NOT SPECIFIED|Clerk#000000373|0|en packages unwind unus
6048|410|O|143730.83|1996-04-13|5-LOW|Clerk#000000456|0|ress excuses wake final excuses. quic
6049|134|O|205744.34|1998-03-10|3-MEDIUM|Clerk#000000242|0|ve the furiously ironic instructions. carefully thin packages integrate a
6050|403|F|146142.96|1993-03-29|5-LOW|Clerk#000000860|0|platelets. final asympt
6051|161|O|232449.16|1998-05-13|3-MEDIUM|Clerk#000000077|0|ly regular asymptotes cajole slyly above the blithely regu
6052|253|F|70188.96|1993-04-16|1-URGENT|Clerk#000000812|0|ular pinto beans haggle fluffily silent accounts. blithely final forges wake 
6053|403|F|49757.67|1993-12-12|3-MEDIUM|Clerk#000000262|0|ts about the bold, even pinto beans detect fluffily about th
6054|5|O|104603.78|1995-09-09|5-LOW|Clerk#000000610|0|ymptotes haggle among the slyly brave foxes. pending instruc
6055|286|O|159307.63|1996-11-11|1-URGENT|Clerk#000000643|0|quests grow carefully. ironic requests haggle furiously blithely regular
6080|128|O|47499.08|1996-06-05|4-NOT SPECIFIED|Clerk#000000321|0|kly express deposits. regular deposits cajole carefully sly, express asymptote
6081|422|O|148631.22|1997-11-05|1-URGENT|Clerk#000000663|0|refully final grouches. ironic, regular packages are. quickly final p
6082|416|O|108580.45|1996-03-03|1-URGENT|Clerk#000000820|0|etect furiously furiously 
